Organism_name	Isoniazid	Rifampicin	Ethambutol	Pyrazinamide	Streptomycin	Ciprofloxacin	Moxifloxacin	Ofloxacin	Amikacin	Capreomycin	Kanamycin	Prothionamide	Ethionamide	URL
SAMEA1403825	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403826	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403827	R	R	R	R	R	No result	No result	S	R	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403828	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403829	R	R	R	S	R	No result	S	S	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403830	R	S	S	S	R	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403831	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403832	S	R	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403833	R	R	S	S	R	No result	No result	R	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403834	R	R	S	S	R	No result	R	R	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403835	R	R	S	S	R	No result	S	S	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403836	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403837	R	S	S	S	R	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403838	R	S	S	S	R	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403840	S	S	R	S	S	No result	S	S	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403841	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403842	R	R	S	S	R	No result	No result	S	R	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403843	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403845	R	R	R	S	R	No result	S	S	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403847	R	R	R	S	R	No result	R	R	S	S	No result	R	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403848	R	R	R	S	R	No result	No result	R	S	R	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403849	R	S	S	S	R	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403850	R	S	S	S	R	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403851	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403852	R	R	R	R	R	No result	S	S	S	S	No result	R	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403853	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403854	R	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403855	R	S	R	S	R	No result	No result	S	R	R	No result	R	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403856	R	R	R	S	R	No result	S	S	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403857	S	S	R	S	R	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403858	R	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403859	R	S	R	R	R	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
